taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId
0,0,15,8947849,URMA_WRITE,7,0ns,0,,0,0
1,0,1,8947849,URMA_WRITE,7,0ns,1,,0,0
2,0,14,8947849,URMA_WRITE,7,0ns,2,,0,0
3,0,2,8947849,URMA_WRITE,7,0ns,3,,0,0
4,0,13,8947849,URMA_WRITE,7,0ns,4,,0,0
5,0,3,8947849,URMA_WRITE,7,0ns,5,,0,0
6,0,12,8947849,URMA_WRITE,7,0ns,6,,0,0
7,0,4,8947849,URMA_WRITE,7,0ns,7,,0,0
8,0,11,8947848,URMA_WRITE,7,0ns,8,,0,0
9,0,5,8947848,URMA_WRITE,7,0ns,9,,0,0
10,0,10,8947848,URMA_WRITE,7,0ns,10,,0,0
11,0,6,8947848,URMA_WRITE,7,0ns,11,,0,0
12,0,9,8947848,URMA_WRITE,7,0ns,12,,0,0
13,0,7,8947848,URMA_WRITE,7,0ns,13,,0,0
14,0,8,8947848,URMA_WRITE,7,0ns,14,,0,0
15,1,0,8947849,URMA_WRITE,7,0ns,15,,0,0
16,1,2,8947849,URMA_WRITE,7,0ns,16,,0,0
17,1,15,8947849,URMA_WRITE,7,0ns,17,,0,0
18,1,3,8947849,URMA_WRITE,7,0ns,18,,0,0
19,1,14,8947849,URMA_WRITE,7,0ns,19,,0,0
20,1,4,8947849,URMA_WRITE,7,0ns,20,,0,0
21,1,13,8947849,URMA_WRITE,7,0ns,21,,0,0
22,1,5,8947849,URMA_WRITE,7,0ns,22,,0,0
23,1,12,8947848,URMA_WRITE,7,0ns,23,,0,0
24,1,6,8947848,URMA_WRITE,7,0ns,24,,0,0
25,1,11,8947848,URMA_WRITE,7,0ns,25,,0,0
26,1,7,8947848,URMA_WRITE,7,0ns,26,,0,0
27,1,10,8947848,URMA_WRITE,7,0ns,27,,0,0
28,1,8,8947848,URMA_WRITE,7,0ns,28,,0,0
29,1,9,8947848,URMA_WRITE,7,0ns,29,,0,0
30,2,1,8947849,URMA_WRITE,7,0ns,30,,0,0
31,2,3,8947849,URMA_WRITE,7,0ns,31,,0,0
32,2,0,8947849,URMA_WRITE,7,0ns,32,,0,0
33,2,4,8947849,URMA_WRITE,7,0ns,33,,0,0
34,2,15,8947849,URMA_WRITE,7,0ns,34,,0,0
35,2,5,8947849,URMA_WRITE,7,0ns,35,,0,0
36,2,14,8947849,URMA_WRITE,7,0ns,36,,0,0
37,2,6,8947849,URMA_WRITE,7,0ns,37,,0,0
38,2,13,8947848,URMA_WRITE,7,0ns,38,,0,0
39,2,7,8947848,URMA_WRITE,7,0ns,39,,0,0
40,2,12,8947848,URMA_WRITE,7,0ns,40,,0,0
41,2,8,8947848,URMA_WRITE,7,0ns,41,,0,0
42,2,11,8947848,URMA_WRITE,7,0ns,42,,0,0
43,2,9,8947848,URMA_WRITE,7,0ns,43,,0,0
44,2,10,8947848,URMA_WRITE,7,0ns,44,,0,0
45,3,2,8947849,URMA_WRITE,7,0ns,45,,0,0
46,3,4,8947849,URMA_WRITE,7,0ns,46,,0,0
47,3,1,8947849,URMA_WRITE,7,0ns,47,,0,0
48,3,5,8947849,URMA_WRITE,7,0ns,48,,0,0
49,3,0,8947849,URMA_WRITE,7,0ns,49,,0,0
50,3,6,8947849,URMA_WRITE,7,0ns,50,,0,0
51,3,15,8947849,URMA_WRITE,7,0ns,51,,0,0
52,3,7,8947849,URMA_WRITE,7,0ns,52,,0,0
53,3,14,8947848,URMA_WRITE,7,0ns,53,,0,0
54,3,8,8947848,URMA_WRITE,7,0ns,54,,0,0
55,3,13,8947848,URMA_WRITE,7,0ns,55,,0,0
56,3,9,8947848,URMA_WRITE,7,0ns,56,,0,0
57,3,12,8947848,URMA_WRITE,7,0ns,57,,0,0
58,3,10,8947848,URMA_WRITE,7,0ns,58,,0,0
59,3,11,8947848,URMA_WRITE,7,0ns,59,,0,0
60,4,3,8947849,URMA_WRITE,7,0ns,60,,0,0
61,4,5,8947849,URMA_WRITE,7,0ns,61,,0,0
62,4,2,8947849,URMA_WRITE,7,0ns,62,,0,0
63,4,6,8947849,URMA_WRITE,7,0ns,63,,0,0
64,4,1,8947849,URMA_WRITE,7,0ns,64,,0,0
65,4,7,8947849,URMA_WRITE,7,0ns,65,,0,0
66,4,0,8947849,URMA_WRITE,7,0ns,66,,0,0
67,4,8,8947849,URMA_WRITE,7,0ns,67,,0,0
68,4,15,8947848,URMA_WRITE,7,0ns,68,,0,0
69,4,9,8947848,URMA_WRITE,7,0ns,69,,0,0
70,4,14,8947848,URMA_WRITE,7,0ns,70,,0,0
71,4,10,8947848,URMA_WRITE,7,0ns,71,,0,0
72,4,13,8947848,URMA_WRITE,7,0ns,72,,0,0
73,4,11,8947848,URMA_WRITE,7,0ns,73,,0,0
74,4,12,8947848,URMA_WRITE,7,0ns,74,,0,0
75,5,4,8947849,URMA_WRITE,7,0ns,75,,0,0
76,5,6,8947849,URMA_WRITE,7,0ns,76,,0,0
77,5,3,8947849,URMA_WRITE,7,0ns,77,,0,0
78,5,7,8947849,URMA_WRITE,7,0ns,78,,0,0
79,5,2,8947849,URMA_WRITE,7,0ns,79,,0,0
80,5,8,8947849,URMA_WRITE,7,0ns,80,,0,0
81,5,1,8947849,URMA_WRITE,7,0ns,81,,0,0
82,5,9,8947849,URMA_WRITE,7,0ns,82,,0,0
83,5,0,8947848,URMA_WRITE,7,0ns,83,,0,0
84,5,10,8947848,URMA_WRITE,7,0ns,84,,0,0
85,5,15,8947848,URMA_WRITE,7,0ns,85,,0,0
86,5,11,8947848,URMA_WRITE,7,0ns,86,,0,0
87,5,14,8947848,URMA_WRITE,7,0ns,87,,0,0
88,5,12,8947848,URMA_WRITE,7,0ns,88,,0,0
89,5,13,8947848,URMA_WRITE,7,0ns,89,,0,0
90,6,5,8947849,URMA_WRITE,7,0ns,90,,0,0
91,6,7,8947849,URMA_WRITE,7,0ns,91,,0,0
92,6,4,8947849,URMA_WRITE,7,0ns,92,,0,0
93,6,8,8947849,URMA_WRITE,7,0ns,93,,0,0
94,6,3,8947849,URMA_WRITE,7,0ns,94,,0,0
95,6,9,8947849,URMA_WRITE,7,0ns,95,,0,0
96,6,2,8947849,URMA_WRITE,7,0ns,96,,0,0
97,6,10,8947849,URMA_WRITE,7,0ns,97,,0,0
98,6,1,8947848,URMA_WRITE,7,0ns,98,,0,0
99,6,11,8947848,URMA_WRITE,7,0ns,99,,0,0
100,6,0,8947848,URMA_WRITE,7,0ns,100,,0,0
101,6,12,8947848,URMA_WRITE,7,0ns,101,,0,0
102,6,15,8947848,URMA_WRITE,7,0ns,102,,0,0
103,6,13,8947848,URMA_WRITE,7,0ns,103,,0,0
104,6,14,8947848,URMA_WRITE,7,0ns,104,,0,0
105,7,6,8947849,URMA_WRITE,7,0ns,105,,0,0
106,7,8,8947849,URMA_WRITE,7,0ns,106,,0,0
107,7,5,8947849,URMA_WRITE,7,0ns,107,,0,0
108,7,9,8947849,URMA_WRITE,7,0ns,108,,0,0
109,7,4,8947849,URMA_WRITE,7,0ns,109,,0,0
110,7,10,8947849,URMA_WRITE,7,0ns,110,,0,0
111,7,3,8947849,URMA_WRITE,7,0ns,111,,0,0
112,7,11,8947849,URMA_WRITE,7,0ns,112,,0,0
113,7,2,8947848,URMA_WRITE,7,0ns,113,,0,0
114,7,12,8947848,URMA_WRITE,7,0ns,114,,0,0
115,7,1,8947848,URMA_WRITE,7,0ns,115,,0,0
116,7,13,8947848,URMA_WRITE,7,0ns,116,,0,0
117,7,0,8947848,URMA_WRITE,7,0ns,117,,0,0
118,7,14,8947848,URMA_WRITE,7,0ns,118,,0,0
119,7,15,8947848,URMA_WRITE,7,0ns,119,,0,0
120,8,7,8947849,URMA_WRITE,7,0ns,120,,0,0
121,8,9,8947849,URMA_WRITE,7,0ns,121,,0,0
122,8,6,8947849,URMA_WRITE,7,0ns,122,,0,0
123,8,10,8947849,URMA_WRITE,7,0ns,123,,0,0
124,8,5,8947849,URMA_WRITE,7,0ns,124,,0,0
125,8,11,8947849,URMA_WRITE,7,0ns,125,,0,0
126,8,4,8947849,URMA_WRITE,7,0ns,126,,0,0
127,8,12,8947849,URMA_WRITE,7,0ns,127,,0,0
128,8,3,8947848,URMA_WRITE,7,0ns,128,,0,0
129,8,13,8947848,URMA_WRITE,7,0ns,129,,0,0
130,8,2,8947848,URMA_WRITE,7,0ns,130,,0,0
131,8,14,8947848,URMA_WRITE,7,0ns,131,,0,0
132,8,1,8947848,URMA_WRITE,7,0ns,132,,0,0
133,8,15,8947848,URMA_WRITE,7,0ns,133,,0,0
134,8,0,8947848,URMA_WRITE,7,0ns,134,,0,0
135,9,8,8947849,URMA_WRITE,7,0ns,135,,0,0
136,9,10,8947849,URMA_WRITE,7,0ns,136,,0,0
137,9,7,8947849,URMA_WRITE,7,0ns,137,,0,0
138,9,11,8947849,URMA_WRITE,7,0ns,138,,0,0
139,9,6,8947849,URMA_WRITE,7,0ns,139,,0,0
140,9,12,8947849,URMA_WRITE,7,0ns,140,,0,0
141,9,5,8947849,URMA_WRITE,7,0ns,141,,0,0
142,9,13,8947849,URMA_WRITE,7,0ns,142,,0,0
143,9,4,8947848,URMA_WRITE,7,0ns,143,,0,0
144,9,14,8947848,URMA_WRITE,7,0ns,144,,0,0
145,9,3,8947848,URMA_WRITE,7,0ns,145,,0,0
146,9,15,8947848,URMA_WRITE,7,0ns,146,,0,0
147,9,2,8947848,URMA_WRITE,7,0ns,147,,0,0
148,9,0,8947848,URMA_WRITE,7,0ns,148,,0,0
149,9,1,8947848,URMA_WRITE,7,0ns,149,,0,0
150,10,9,8947849,URMA_WRITE,7,0ns,150,,0,0
151,10,11,8947849,URMA_WRITE,7,0ns,151,,0,0
152,10,8,8947849,URMA_WRITE,7,0ns,152,,0,0
153,10,12,8947849,URMA_WRITE,7,0ns,153,,0,0
154,10,7,8947849,URMA_WRITE,7,0ns,154,,0,0
155,10,13,8947849,URMA_WRITE,7,0ns,155,,0,0
156,10,6,8947849,URMA_WRITE,7,0ns,156,,0,0
157,10,14,8947849,URMA_WRITE,7,0ns,157,,0,0
158,10,5,8947848,URMA_WRITE,7,0ns,158,,0,0
159,10,15,8947848,URMA_WRITE,7,0ns,159,,0,0
160,10,4,8947848,URMA_WRITE,7,0ns,160,,0,0
161,10,0,8947848,URMA_WRITE,7,0ns,161,,0,0
162,10,3,8947848,URMA_WRITE,7,0ns,162,,0,0
163,10,1,8947848,URMA_WRITE,7,0ns,163,,0,0
164,10,2,8947848,URMA_WRITE,7,0ns,164,,0,0
165,11,10,8947849,URMA_WRITE,7,0ns,165,,0,0
166,11,12,8947849,URMA_WRITE,7,0ns,166,,0,0
167,11,9,8947849,URMA_WRITE,7,0ns,167,,0,0
168,11,13,8947849,URMA_WRITE,7,0ns,168,,0,0
169,11,8,8947849,URMA_WRITE,7,0ns,169,,0,0
170,11,14,8947849,URMA_WRITE,7,0ns,170,,0,0
171,11,7,8947849,URMA_WRITE,7,0ns,171,,0,0
172,11,15,8947849,URMA_WRITE,7,0ns,172,,0,0
173,11,6,8947848,URMA_WRITE,7,0ns,173,,0,0
174,11,0,8947848,URMA_WRITE,7,0ns,174,,0,0
175,11,5,8947848,URMA_WRITE,7,0ns,175,,0,0
176,11,1,8947848,URMA_WRITE,7,0ns,176,,0,0
177,11,4,8947848,URMA_WRITE,7,0ns,177,,0,0
178,11,2,8947848,URMA_WRITE,7,0ns,178,,0,0
179,11,3,8947848,URMA_WRITE,7,0ns,179,,0,0
180,12,11,8947849,URMA_WRITE,7,0ns,180,,0,0
181,12,13,8947849,URMA_WRITE,7,0ns,181,,0,0
182,12,10,8947849,URMA_WRITE,7,0ns,182,,0,0
183,12,14,8947849,URMA_WRITE,7,0ns,183,,0,0
184,12,9,8947849,URMA_WRITE,7,0ns,184,,0,0
185,12,15,8947849,URMA_WRITE,7,0ns,185,,0,0
186,12,8,8947849,URMA_WRITE,7,0ns,186,,0,0
187,12,0,8947849,URMA_WRITE,7,0ns,187,,0,0
188,12,7,8947848,URMA_WRITE,7,0ns,188,,0,0
189,12,1,8947848,URMA_WRITE,7,0ns,189,,0,0
190,12,6,8947848,URMA_WRITE,7,0ns,190,,0,0
191,12,2,8947848,URMA_WRITE,7,0ns,191,,0,0
192,12,5,8947848,URMA_WRITE,7,0ns,192,,0,0
193,12,3,8947848,URMA_WRITE,7,0ns,193,,0,0
194,12,4,8947848,URMA_WRITE,7,0ns,194,,0,0
195,13,12,8947849,URMA_WRITE,7,0ns,195,,0,0
196,13,14,8947849,URMA_WRITE,7,0ns,196,,0,0
197,13,11,8947849,URMA_WRITE,7,0ns,197,,0,0
198,13,15,8947849,URMA_WRITE,7,0ns,198,,0,0
199,13,10,8947849,URMA_WRITE,7,0ns,199,,0,0
200,13,0,8947849,URMA_WRITE,7,0ns,200,,0,0
201,13,9,8947849,URMA_WRITE,7,0ns,201,,0,0
202,13,1,8947849,URMA_WRITE,7,0ns,202,,0,0
203,13,8,8947848,URMA_WRITE,7,0ns,203,,0,0
204,13,2,8947848,URMA_WRITE,7,0ns,204,,0,0
205,13,7,8947848,URMA_WRITE,7,0ns,205,,0,0
206,13,3,8947848,URMA_WRITE,7,0ns,206,,0,0
207,13,6,8947848,URMA_WRITE,7,0ns,207,,0,0
208,13,4,8947848,URMA_WRITE,7,0ns,208,,0,0
209,13,5,8947848,URMA_WRITE,7,0ns,209,,0,0
210,14,13,8947849,URMA_WRITE,7,0ns,210,,0,0
211,14,15,8947849,URMA_WRITE,7,0ns,211,,0,0
212,14,12,8947849,URMA_WRITE,7,0ns,212,,0,0
213,14,0,8947849,URMA_WRITE,7,0ns,213,,0,0
214,14,11,8947849,URMA_WRITE,7,0ns,214,,0,0
215,14,1,8947849,URMA_WRITE,7,0ns,215,,0,0
216,14,10,8947849,URMA_WRITE,7,0ns,216,,0,0
217,14,2,8947849,URMA_WRITE,7,0ns,217,,0,0
218,14,9,8947848,URMA_WRITE,7,0ns,218,,0,0
219,14,3,8947848,URMA_WRITE,7,0ns,219,,0,0
220,14,8,8947848,URMA_WRITE,7,0ns,220,,0,0
221,14,4,8947848,URMA_WRITE,7,0ns,221,,0,0
222,14,7,8947848,URMA_WRITE,7,0ns,222,,0,0
223,14,5,8947848,URMA_WRITE,7,0ns,223,,0,0
224,14,6,8947848,URMA_WRITE,7,0ns,224,,0,0
225,15,14,8947849,URMA_WRITE,7,0ns,225,,0,0
226,15,0,8947849,URMA_WRITE,7,0ns,226,,0,0
227,15,13,8947849,URMA_WRITE,7,0ns,227,,0,0
228,15,1,8947849,URMA_WRITE,7,0ns,228,,0,0
229,15,12,8947849,URMA_WRITE,7,0ns,229,,0,0
230,15,2,8947849,URMA_WRITE,7,0ns,230,,0,0
231,15,11,8947849,URMA_WRITE,7,0ns,231,,0,0
232,15,3,8947849,URMA_WRITE,7,0ns,232,,0,0
233,15,10,8947848,URMA_WRITE,7,0ns,233,,0,0
234,15,4,8947848,URMA_WRITE,7,0ns,234,,0,0
235,15,9,8947848,URMA_WRITE,7,0ns,235,,0,0
236,15,5,8947848,URMA_WRITE,7,0ns,236,,0,0
237,15,8,8947848,URMA_WRITE,7,0ns,237,,0,0
238,15,6,8947848,URMA_WRITE,7,0ns,238,,0,0
239,15,7,8947848,URMA_WRITE,7,0ns,239,,0,0
